test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
12280,Complete Blood Count- CBC,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12280,Complete Blood Count- CBC,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12280,Complete Blood Count- CBC,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12280,Complete Blood Count- CBC,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12280,Complete Blood Count- CBC,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12280,Complete Blood Count- CBC,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12280,Complete Blood Count- CBC,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12280,Complete Blood Count- CBC,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12280,Complete Blood Count- CBC,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12280,Complete Blood Count- CBC,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12280,Complete Blood Count- CBC,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12280,Complete Blood Count- CBC,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12280,Complete Blood Count- CBC,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12280,Complete Blood Count- CBC,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12282,PROTHROMBIN TIME (PT with INR),,PT,204; 1475; 1506; 1849; 2019; 2057; 2280; 2564,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12282,PROTHROMBIN TIME (PT with INR),,PT Control,2020; 2981,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12282,PROTHROMBIN TIME (PT with INR),,INR,15; 16; 17; 205; 878; 1476; 1507; 1637; 1711; 1802; 1867; 1873; 2021; 2193; 2281; 2565; 2936; 2938; 2979; 2980; 2982,21 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12283,APTT,,APTT,35; 69; 880; 1029; 1426; 1498; 1705; 1895; 2167; 2272; 2572,11 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12283,APTT,,Control,1028; 1042,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12292,Blood Group,,Blood Group,587; 1240; 2568,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12292,Blood Group,,RH Factor,588; 1241; 2569,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12299,CROSS MATCH with Screening,,Donor Heamoglobin (HB),140; 1140,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12299,CROSS MATCH with Screening,,HBsAg (Screening),114; 222; 765; 885; 932; 1258; 2100; 2274,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12299,CROSS MATCH with Screening,,Anti HCV (Screening),115; 2114,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12299,CROSS MATCH with Screening,,RPR (VDRL),117; 2292,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12303,Malarial Parasite (MP) ICT,,Malarial Parasite PF,30; 2187,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12303,Malarial Parasite (MP) ICT,,Malarial Parasite PV,31; 2227,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12306,CBC For Dengue,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12306,CBC For Dengue,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12306,CBC For Dengue,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12306,CBC For Dengue,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12306,CBC For Dengue,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12309,Prothrombin Time (PT with INR),,PT,204; 1475; 1506; 1849; 2019; 2057; 2280; 2564,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12309,Prothrombin Time (PT with INR),,PT Control,2020; 2981,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12309,Prothrombin Time (PT with INR),,INR,15; 16; 17; 205; 878; 1476; 1507; 1637; 1711; 1802; 1867; 1873; 2021; 2193; 2281; 2565; 2936; 2938; 2979; 2980; 2982,21 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12322,"PT, APTT, INR",,PT,204; 1475; 1506; 1849; 2019; 2057; 2280; 2564,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12322,"PT, APTT, INR",,PT Control,2020; 2981,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12322,"PT, APTT, INR",,INR,15; 16; 17; 205; 878; 1476; 1507; 1637; 1711; 1802; 1867; 1873; 2021; 2193; 2281; 2565; 2936; 2938; 2979; 2980; 2982,21 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12322,"PT, APTT, INR",,APTT,35; 69; 880; 1029; 1426; 1498; 1705; 1895; 2167; 2272; 2572,11 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12322,"PT, APTT, INR",,APTT Control,36; 1896; 2273,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12343,Complete Blood Count- CBC with ESR,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12343,Complete Blood Count- CBC with ESR,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12343,Complete Blood Count- CBC with ESR,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12343,Complete Blood Count- CBC with ESR,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12343,Complete Blood Count- CBC with ESR,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12343,Complete Blood Count- CBC with ESR,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12343,Complete Blood Count- CBC with ESR,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12343,Complete Blood Count- CBC with ESR,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12343,Complete Blood Count- CBC with ESR,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12343,Complete Blood Count- CBC with ESR,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12343,Complete Blood Count- CBC with ESR,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12343,Complete Blood Count- CBC with ESR,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12343,Complete Blood Count- CBC with ESR,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12343,Complete Blood Count- CBC with ESR,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12343,Complete Blood Count- CBC with ESR,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12343,Complete Blood Count- CBC with ESR,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12343,Complete Blood Count- CBC with ESR,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12343,Complete Blood Count- CBC with ESR,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12344,Complete Blood Count- CBC with Blood Group,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12344,Complete Blood Count- CBC with Blood Group,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12344,Complete Blood Count- CBC with Blood Group,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12344,Complete Blood Count- CBC with Blood Group,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12344,Complete Blood Count- CBC with Blood Group,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12344,Complete Blood Count- CBC with Blood Group,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12344,Complete Blood Count- CBC with Blood Group,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12344,Complete Blood Count- CBC with Blood Group,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12344,Complete Blood Count- CBC with Blood Group,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12344,Complete Blood Count- CBC with Blood Group,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12344,Complete Blood Count- CBC with Blood Group,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12344,Complete Blood Count- CBC with Blood Group,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12344,Complete Blood Count- CBC with Blood Group,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12344,Complete Blood Count- CBC with Blood Group,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12344,Complete Blood Count- CBC with Blood Group,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12344,Complete Blood Count- CBC with Blood Group,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12344,Complete Blood Count- CBC with Blood Group,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12344,Complete Blood Count- CBC with Blood Group,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12346,Complete Blood Count- CBC,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12346,Complete Blood Count- CBC,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12346,Complete Blood Count- CBC,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12346,Complete Blood Count- CBC,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12346,Complete Blood Count- CBC,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12346,Complete Blood Count- CBC,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12346,Complete Blood Count- CBC,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12346,Complete Blood Count- CBC,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12346,Complete Blood Count- CBC,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12346,Complete Blood Count- CBC,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12346,Complete Blood Count- CBC,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12346,Complete Blood Count- CBC,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12346,Complete Blood Count- CBC,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12346,Complete Blood Count- CBC,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12346,Complete Blood Count- CBC,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12346,Complete Blood Count- CBC,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12346,Complete Blood Count- CBC,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12347,Complete Blood Count- CBC with Peripheral smear,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12347,Complete Blood Count- CBC with Peripheral smear,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12347,Complete Blood Count- CBC with Peripheral smear,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12347,Complete Blood Count- CBC with Peripheral smear,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12347,Complete Blood Count- CBC with Peripheral smear,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12347,Complete Blood Count- CBC with Peripheral smear,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12348,Hemoglobin (Hb) with RBC indices,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12348,Hemoglobin (Hb) with RBC indices,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12348,Hemoglobin (Hb) with RBC indices,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12348,Hemoglobin (Hb) with RBC indices,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12348,Hemoglobin (Hb) with RBC indices,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12348,Hemoglobin (Hb) with RBC indices,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12348,Hemoglobin (Hb) with RBC indices,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
92,STOOL REDUCING SUBSTANCE,,PH,234; 460; 663; 1011; 1022; 1035; 1062; 1101; 1483; 1638; 1985; 2088; 2149; 2267; 2637; 2738; 2749; 2818; 2930,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12004,Salmonella Typhi Antigen (Serum),,Salmonella Typhi Antigen (Serum),32; 2190,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12004,Salmonella Typhi Antigen (Serum),,Salmonella Para Typhi Antigen (Serum),33; 2189,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12288,Typhidot,,Typhidot IgM,766; 2053; 2067; 2299,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12288,Typhidot,,Typhidot IgG,767; 2052; 2066; 2298,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12288,Typhidot,,Remarks,182; 982; 993; 1137; 1139; 2277; 2822,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12290,V.D.R.L ICT SCREENING,,V.D.R.L ( Syphilis ) ICT,38; 559; 1438; 2686,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12294,TB (Screening) IgM & IgG,,TB (Screening) IgM,1440; 2069,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12294,TB (Screening) IgM & IgG,,TB (Screening) IgG,1441; 2070,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12323,"HCV, HBsAg ICT",,HBsAg Screening,114; 222; 765; 885; 932; 1258; 2100; 2274,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12323,"HCV, HBsAg ICT",,HCV Screening,225; 889; 934; 971; 1270,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12382,RA Factor,,RA Factor,1652; 2054; 2226; 2819,4 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12025,Creatinine Clearance (24 Hrs Urine & Serum),,Serum Creatinine,260; 472; 849; 857; 923; 1208; 2257,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12025,Creatinine Clearance (24 Hrs Urine & Serum),,Total Volume,139; 1395; 1949; 2072,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12025,Creatinine Clearance (24 Hrs Urine & Serum),,Creatinine Clearance,262; 1615; 2256; 2687,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12028,IgE Level,,IgE,302; 957; 1229; 1511; 1908; 2560; 2813,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12035,Stool Complete Examination,,Color,316; 338; 1051; 1149; 1686; 1996; 2496; 2786; 2931; 2963,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12035,Stool Complete Examination,,Consistency,317; 1099; 1287; 1687; 1998; 2621; 2748; 2929,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12035,Stool Complete Examination,,Mucus,320; 822; 1290; 1910; 2624,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12035,Stool Complete Examination,,Blood,321; 350; 1160; 2181; 2506,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12035,Stool Complete Examination,,Parasite,322; 823; 1291; 2625,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12035,Stool Complete Examination,,Occult Blood,213; 824; 1292; 2626,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12035,Stool Complete Examination,,Pus Cells/WBC,324; 825; 1293; 2627,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12035,Stool Complete Examination,,RBC,325; 826; 1294; 2628; 2704,5 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12035,Stool Complete Examination,,Ova,327; 1296; 1690; 2630,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12284,Urine Complete Examination,,Color,316; 338; 1051; 1149; 1686; 1996; 2496; 2786; 2931; 2963,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12284,Urine Complete Examination,,Appearance,662; 1074; 1100; 1308; 1984; 2130,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12284,Urine Complete Examination,,Specific Gravity,341; 1152; 1639; 2078; 2499,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12284,Urine Complete Examination,,PH,234; 460; 663; 1011; 1022; 1035; 1062; 1101; 1483; 1638; 1985; 2088; 2149; 2267; 2637; 2738; 2749; 2818; 2930,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12284,Urine Complete Examination,,Protein,345; 1155; 1449; 2079; 2502; 2703,6 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12284,Urine Complete Examination,,Glucose,343; 1153; 1450; 2500; 2702; 2791; 2969,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12284,Urine Complete Examination,,Ketones,344; 360; 1154; 1428; 2501; 2576,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
