test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
12289,Semen Analysis,,PH,234; 460; 663; 1011; 1022; 1035; 1062; 1101; 1483; 1638; 1985; 2088; 2149; 2267; 2637; 2738; 2749; 2818; 2930,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12289,Semen Analysis,,Sperm Concentration,1434; 2150; 2698,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12289,Semen Analysis,,Actively motile sperm,1054; 2002,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12289,Semen Analysis,,Sluggish motile sperm,1055; 2003,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12289,Semen Analysis,,Immotile,668; 1015; 1106; 1312; 2752,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12289,Semen Analysis,,Abnormal,674; 1112; 1317; 1451; 1491,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12289,Semen Analysis,,Tail Defects,676; 1114; 1319; 1453; 1493,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12289,Semen Analysis,,Pus Cells,214; 1023; 1030; 1036; 1057; 1065; 1118; 1430; 1455; 1673; 1989; 2216; 2646,13 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12289,Semen Analysis,,Red Blood Cells,337; 1024; 1031; 1058; 1119; 1431; 2010; 2217; 2647,9 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12289,Semen Analysis,,Epithelial Cells,334; 1025; 1032; 1059; 1066; 1432; 1990; 2011; 2058; 2218; 2258; 2648; 2754,13 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12265,RENAL STONE ANALYSIS,,Serum Phosphorus,1411; 2035,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
19,BUN/ CREATININE RATIO,,BUN/Creatinine Ratio,126; 2340; 2379; 2695; 2926,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
36,EOSINOPHIL COUNT,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
41,HB,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
43,Hct,,HCT (PCV),49; 189; 1071; 1422; 1747; 2363,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
46,MALARIAL PARASITE (M.P.),,Malarial Parasite (MP),165; 1016; 1085; 1239; 2282,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
48,MCH,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
49,MCHC,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
50,MCV,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
59,PLATELET COUNT,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
62,RETICULOCYTES,,Reticulocyte Count,207; 879; 962; 1237; 1340; 2091; 2349,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
65,TOTAL LIPIDS,,Total Lipids,208; 775; 834; 1189,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
66,TOTAL RBC,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
71,V.L.D.L,,V.L.D.L,212; 624; 1091; 1489; 1668; 1774; 1788; 1848; 1871; 2183; 2928; 2937,12 master parameters share this normalized name (unit disambiguation narrowed to 12),medium
73,WBC Count (TLC),,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5609,Hct,,HCT (PCV),49; 189; 1071; 1422; 1747; 2363,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
5647,TOTAL LIPIDS,,TOTAL LIPIDS,208; 775; 834; 1189,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5696,HB,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
5697,WBC Count (TLC),,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5699,PLATELET COUNT,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5705,RETICULOCYTES,,RETICULOCYTE COUNT,207; 879; 962; 1237; 1340; 2091; 2349,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11957,APTT,,APTT,35; 69; 880; 1029; 1426; 1498; 1705; 1895; 2167; 2272; 2572,11 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
11958,ABSOLUTE EOSINOPHIL COUNT,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
11959,ABSOLUTE LYMPHOCYTE COUNT,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
11960,ABSOLUTE MONOCYTE COUNT,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11961,ABSOLUTE NEUTROPHILE COUNT,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
11964,AMYLASE (FLUID),,Protein (Spot Urine),76; 1957; 2229,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
11971,BUN/ CREATININE RATIO,,BUN/Creatinine Ratio,126; 2340; 2379; 2695; 2926,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
11975,Coombs Test Indirect,,Coombs Test Indirect,136; 1243; 1335; 1706; 2571,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
11976,Coombs Test Direct,,Coombs Test Direct,137; 963; 1242; 1336; 1707; 2570,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
11979,ESR,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
11984,L.D.H (CSF),,L.D.H (CSF),190; 2382,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11988,Platelets Count,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11991,V.L.D.L,,V.L.D.L,212; 624; 1091; 1489; 1668; 1774; 1788; 1848; 1871; 2183; 2928; 2937,12 master parameters share this normalized name (unit disambiguation narrowed to 12),medium
11992,WBC Count (TLC),,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12301,Bleeding Time (BT),,Bleeding Time (BT),8; 79; 1236; 1505; 2017; 2231,6 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12302,Clotting Time (CT),,Clotting Time (CT),13; 135; 917; 1614; 2232,5 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12305,APTT,,APTT,35; 69; 880; 1029; 1426; 1498; 1705; 1895; 2167; 2272; 2572,11 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
11993,ANA Screen IgG,,ANA Screen IgG,1900; 2263,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11995,ASO TITER (Qualitative),,ASO titer,7; 220; 1255; 1341; 1456; 1509,6 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11997,HBsAg Screening,,HBsAg Screening,114; 222; 765; 885; 932; 1258; 2100; 2274,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
11999,HCV Screening,,HCV Screening,225; 889; 934; 971; 1270,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12003,Rh. Antibodies Titer,,Rh Antibody Titer,231; 1244; 1343; 2688,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12007,AFP- Alpha fetoprotein,,Alpha Feto-Protein,238; 968; 1257; 1681; 1904; 2116; 2224; 2580,8 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12008,Anti-CCP (Anti-Citrullinated Peptide Antibody),,Anti CCP Antibody,1523; 1853; 2388,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12009,Anti ds DNA IgG,,Anti Ds DNA IgG,240; 1214; 1905,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12012,Anti H Pylori Screening,,Anti Helicobacter Pylori Screening,243; 888; 1268; 1641; 1698; 2290; 2588,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12013,Anti Tissue Transglutaminase IgA,,Anti Tissue Transglutaminase IgA,244; 943; 1906; 2389,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12014,Anti Tissue Transglutaminase IgG,,Anti Tissue Transglutaminase IgG,245; 793; 944; 1907; 2309; 2390,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
