test_id,test_name,status,reason,mapped_parameter_count
630,Anti-CCP (Anti-Citrullinated Peptide Antibody),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
631,Anti ds DNA IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
632,ANTI HDV IgG,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
633,ANTI HDV IgM,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
634,Anti H Pylori Screening,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
635,Anti Tissue Transglutaminase IgA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
636,Anti Tissue Transglutaminase IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
640,CA 125,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
641,CA 19-9,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
642,CORTISOL (A.M),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
643,Cortisol PM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
647,CRP (HIGH SENSITIVITY),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
648,Serum Folic Acid,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
650,PIVKA-II,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
651,R.A FACTOR (QUANTITATIVE),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
652,Stool for Calprotectin,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
653,Stool for H. Pylori Antigen,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
654,Vitamin B12,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
657,C-Reactive Protien (CRP) (Quantitative),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
739,Stool for Occult Blood,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
740,URINE SUGAR,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
787,FREE T3,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
846,Free T3,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
847,Free T4,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
