app,file,line,method,path,sdk_call,openapi_operationId
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,125,POST,/catalog/panels/{panelId}/tests,client.POST,addPanelTest
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,137,DELETE,/catalog/panels/{panelId}/tests/{testId},client.DELETE,removePanelTest
admin,apps/admin/src/app/(protected)/catalog/parameters/page.tsx,33,GET,/catalog/parameters,client.GET,listParameters
admin,apps/admin/src/app/(protected)/catalog/parameters/page.tsx,44,GET,/catalog/parameters/next-id,client.GET,getNextParameterId
admin,apps/admin/src/app/(protected)/catalog/parameters/page.tsx,83,PUT,/catalog/parameters/{parameterId},client.PUT,updateParameter
admin,apps/admin/src/app/(protected)/catalog/parameters/page.tsx,85,POST,/catalog/parameters,client.POST,createParameter
admin,apps/admin/src/app/(protected)/catalog/parameters/page.tsx,95,DELETE,/catalog/parameters/{parameterId},client.DELETE,deleteParameter
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,77,GET,/catalog/reference-ranges,client.GET,listReferenceRanges
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,87,GET,/catalog/parameters,client.GET,listParameters
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,88,GET,/catalog/tests,client.GET,listCatalogTests
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,102,GET,/catalog/reference-ranges,client.GET,listReferenceRanges
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,179,PUT,/catalog/reference-ranges/{id},client.PUT,updateReferenceRange
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,181,POST,/catalog/reference-ranges,client.POST,createReferenceRange
admin,apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx,193,DELETE,/catalog/reference-ranges/{id},client.DELETE,deleteReferenceRange
admin,apps/admin/src/app/(protected)/catalog/sample-types/page.tsx,30,GET,/catalog/sample-types,client.GET,listSampleTypes
admin,apps/admin/src/app/(protected)/catalog/sample-types/page.tsx,41,GET,/catalog/sample-types/next-id,client.GET,getNextSampleTypeId
admin,apps/admin/src/app/(protected)/catalog/sample-types/page.tsx,70,PATCH,/catalog/sample-types/{id},client.PATCH,updateSampleType
admin,apps/admin/src/app/(protected)/catalog/sample-types/page.tsx,72,POST,/catalog/sample-types,client.POST,createSampleType
admin,apps/admin/src/app/(protected)/catalog/sample-types/page.tsx,82,DELETE,/catalog/sample-types/{id},client.DELETE,deleteSampleType
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,52,GET,/catalog/tests,client.GET,listCatalogTests
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,67,GET,/operator/catalog/tests/top,client.GET,operatorCatalogTestsTop
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,84,GET,/catalog/tests/{testId}/parameters,client.GET,listTestParameters
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,91,GET,/catalog/parameters,client.GET,listParameters
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,98,GET,/catalog/tests,client.GET,listCatalogTests
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,103,GET,/catalog/tests/{testId}/parameters,client.GET,listTestParameters
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,124,GET,/catalog/tests/next-id,client.GET,getNextTestId
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,168,PATCH,/catalog/tests/{id},client.PATCH,
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,170,POST,/catalog/tests,client.POST,createCatalogTest
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,188,DELETE,/catalog/tests/{id},client.DELETE,
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,209,POST,/catalog/tests/{testId}/parameters,client.POST,addTestParameter
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,221,DELETE,/catalog/tests/{testId}/parameters/{parameterId},client.DELETE,removeTestParameter
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,239,PATCH,/catalog/tests/{testId}/parameters/{parameterId},client.PATCH,updateTestParameterMapping
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,243,PATCH,/catalog/tests/{testId}/parameters/{parameterId},client.PATCH,updateTestParameterMapping
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,274,GET,/operator/catalog/tests/search,client.GET,operatorCatalogTestsSearch
admin,apps/admin/src/app/(protected)/catalog/tests/page.tsx,319,PUT,/admin/catalog/tests/top,client.PUT,adminSetCatalogTopTests
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,66,GET,/health,client.GET,getHealth
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,67,GET,/jobs/failed-count,client.GET,getFailedJobsCount
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,68,GET,/audit-events,client.GET,listAuditEvents
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,69,GET,/patients,client.GET,listPatients
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,70,GET,/encounters,client.GET,listEncounters
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,71,GET,/documents,client.GET,listDocuments
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,72,GET,/jobs,client.GET,listJobs
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,73,GET,/jobs,client.GET,listJobs
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,74,GET,/jobs,client.GET,listJobs
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,75,GET,/jobs/failed,client.GET,listFailedJobs
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,76,GET,/audit-events,client.GET,listAuditEvents
admin,apps/admin/src/app/(protected)/dashboard/page.tsx,77,GET,/tenants,client.GET,listTenants
admin,apps/admin/src/app/(protected)/documents/page.tsx,31,GET,/documents,client.GET,listDocuments
admin,apps/admin/src/app/(protected)/documents/page.tsx,48,POST,/documents/{id}:publish,client.POST,publishDocument
admin,apps/admin/src/app/(protected)/encounters/page.tsx,30,GET,/encounters,client.GET,listEncounters
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,83,GET,/me,client.GET,getMe
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,84,GET,/tenants,client.GET,listTenants
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,85,GET,/feature-flags/definitions,client.GET,getFeatureFlagDefinitions
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,101,GET,/tenants/{tenantId}/feature-flags,client.GET,getTenantFeatureFlags
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,117,PUT,/tenants/{tenantId}/feature-flags,client.PUT,setTenantFeatureFlags
admin,apps/admin/src/app/(protected)/feature-flags/page.tsx,138,PUT,/tenants/{tenantId}/feature-flags,client.PUT,setTenantFeatureFlags
admin,apps/admin/src/app/(protected)/jobs/page.tsx,26,GET,/jobs,client.GET,listJobs
admin,apps/admin/src/app/(protected)/jobs/page.tsx,27,GET,/jobs/failed,client.GET,listFailedJobs
admin,apps/admin/src/app/(protected)/jobs/page.tsx,28,GET,/catalog/import-jobs,client.GET,listImportJobs
admin,apps/admin/src/app/(protected)/jobs/page.tsx,29,GET,/catalog/export-jobs,client.GET,listExportJobs
admin,apps/admin/src/app/(protected)/jobs/page.tsx,30,GET,/documents,client.GET,listDocuments
admin,apps/admin/src/app/(protected)/jobs/page.tsx,50,POST,/jobs/${pendingRetry.id}:retry,client.POST,
admin,apps/admin/src/app/(protected)/jobs/page.tsx,52,POST,/documents/{id}:publish,client.POST,publishDocument
admin,apps/admin/src/app/(protected)/opd/doctors/page.tsx,109,GET,/opd/doctors,client.GET,listOpdDoctors
admin,apps/admin/src/app/(protected)/opd/doctors/page.tsx,150,POST,/opd/doctors,client.POST,createOpdDoctor
admin,apps/admin/src/app/(protected)/opd/doctors/page.tsx,191,PATCH,/opd/doctors/{doctorId},client.PATCH,updateOpdDoctor
admin,apps/admin/src/app/(protected)/opd/doctors/page.tsx,228,PATCH,/opd/doctors/{doctorId},client.PATCH,updateOpdDoctor
admin,apps/admin/src/app/(protected)/opd/feature-flags/page.tsx,27,GET,/me,client.GET,getMe
admin,apps/admin/src/app/(protected)/opd/feature-flags/page.tsx,27,GET,/tenants,client.GET,listTenants
admin,apps/admin/src/app/(protected)/opd/feature-flags/page.tsx,42,GET,/tenants/{tenantId}/feature-flags,client.GET,getTenantFeatureFlags
admin,apps/admin/src/app/(protected)/opd/feature-flags/page.tsx,77,PUT,/tenants/{tenantId}/feature-flags,client.PUT,setTenantFeatureFlags
admin,apps/admin/src/app/(protected)/opd/feature-flags/page.tsx,94,PUT,/tenants/{tenantId}/feature-flags,client.PUT,setTenantFeatureFlags
admin,apps/admin/src/app/(protected)/opd/providers/[providerId]/page.tsx,24,GET,/opd/providers/{providerId},client.GET,getOpdProvider
admin,apps/admin/src/app/(protected)/opd/providers/page.tsx,85,GET,/opd/providers,client.GET,listOpdProviders
admin,apps/admin/src/app/(protected)/opd/providers/page.tsx,118,POST,/opd/providers,client.POST,createOpdProvider
admin,apps/admin/src/app/(protected)/opd/providers/page.tsx,150,PATCH,/opd/providers/{providerId},client.PATCH,updateOpdProvider
admin,apps/admin/src/app/(protected)/opd/providers/page.tsx,167,DELETE,/opd/providers/{providerId},client.DELETE,
admin,apps/admin/src/app/(protected)/opd/schedules/page.tsx,104,GET,/opd/providers,client.GET,listOpdProviders
admin,apps/admin/src/app/(protected)/opd/schedules/page.tsx,122,GET,/opd/providers/{providerId}/schedules,client.GET,listOpdProviderSchedules
admin,apps/admin/src/app/(protected)/opd/schedules/page.tsx,153,POST,/opd/providers/{providerId}/schedules,client.POST,createOpdProviderSchedule
admin,apps/admin/src/app/(protected)/opd/schedules/page.tsx,178,PATCH,/opd/providers/{providerId}/schedules/{scheduleId},client.PATCH,updateOpdProviderSchedule
admin,apps/admin/src/app/(protected)/opd/schedules/page.tsx,196,DELETE,/opd/providers/{providerId}/schedules/{scheduleId},client.DELETE,deleteOpdProviderSchedule
admin,apps/admin/src/app/(protected)/ops/backups/new/page.tsx,22,GET,/ops/storage-targets,client.GET,listOpsStorageTargets
admin,apps/admin/src/app/(protected)/ops/backups/new/page.tsx,36,POST,/ops/backups/full:run,client.POST,runFullBackup
admin,apps/admin/src/app/(protected)/ops/backups/page.tsx,50,GET,/ops/runs,client.GET,listOpsRuns
admin,apps/admin/src/app/(protected)/ops/logs/page.tsx,38,GET,/ops/runs,client.GET,listOpsRuns
admin,apps/admin/src/app/(protected)/ops/logs/page.tsx,54,GET,/ops/runs/{id}/logs,client.GET,getOpsRunLogs
admin,apps/admin/src/app/(protected)/ops/logs/page.tsx,74,GET,/ops/runs/{id},client.GET,getOpsRun
admin,apps/admin/src/app/(protected)/ops/logs/page.tsx,75,GET,/ops/runs/{id}/logs,client.GET,getOpsRunLogs
admin,apps/admin/src/app/(protected)/ops/page.tsx,52,GET,/ops/dashboard,client.GET,getOpsDashboard
admin,apps/admin/src/app/(protected)/ops/page.tsx,62,POST,/ops/backups/full:run,client.POST,runFullBackup
