legacy_test_id,legacy_test_name,legacy_parameter_name,legacy_unit,legacy_type,canonical_parameterExternalId,canonical_name,canonical_defaultUnit,canonical_resultType,unit_mismatch_flag,type_mismatch_flag
12109,CEA (Carcinoembryonic Antigen),C.E.A,ng/ml,Decimal,p2113,C.E.A,ng/ml,numeric,,
12213,Cardiac Enzymes,C.P.K,U/L,Decimal,p2114,C.P.K,U/L,numeric,,
12209,CPK-Creatine phosphokinase,C.P.K,U/L,Decimal,p2114,C.P.K,U/L,numeric,,
12108,C-Peptide Level (Fasting),C-Peptide Level,ng/ml,Decimal,p2115,C-Peptide Level,ng/ml,numeric,,
12297,C-Reactive Protien (CRP) (Quantitative),C-Reactive Protein (CRP),mg/L,Decimal,p2116,C-Reactive Protein (CRP),mg/L,numeric,,
12207,C3 (Complement Level 3),C3 (Complement Level 3),g/l,Decimal,p2117,C3 (Complement Level 3),g/l,numeric,,
12208,C4 (Complement Level 4),C4 (Complement Level 4),mg/dl,Decimal,p2118,C4 (Complement Level 4),mg/dl,numeric,,
12019,CA 125,CA-125,U/ml,Decimal,p2119,CA-125,U/ml,numeric,,
12110,CA 15-3 (Blood),CA 15-3 (Blood),U/ml,Decimal,p2120,CA 15-3 (Blood),U/ml,numeric,,
12020,CA 19-9,CA-19-9,u/ml,Decimal,p2121,CA-19-9,u/ml,numeric,,
12240,Serum Electrolyte,Calcium,mg/dl,Decimal,p2122,Calcium,mg/dl,numeric,,
20,CALCIUM/CREATININE RATIO,Calcium/Creatinine (Spot Urine),,Decimal,p2123,Calcium/Creatinine (Spot Urine),,numeric,,
11972,CALCIUM/CREATININE RATIO,Calcium/Creatinine (Spot Urine),,Decimal,p2123,Calcium/Creatinine (Spot Urine),,numeric,,
20,CALCIUM/CREATININE RATIO,Calcium (Spot Urine),mg/L,Decimal,p2124,Calcium (Spot Urine),mg/L,numeric,,
11972,CALCIUM/CREATININE RATIO,Calcium (Spot Urine),mg/L,Decimal,p2124,Calcium (Spot Urine),mg/L,numeric,,
12318,Lipid Profile,Cholesterol / HDL Cholesterol Ratio,mg/dl,Formula,p2125,Cholesterol / HDL Cholesterol Ratio,mg/dl,numeric,,
12213,Cardiac Enzymes,CKMB,u/l,Decimal,p2126,CKMB,u/l,numeric,,
12216,CK-MB,CKMB,u/l,Decimal,p2126,CKMB,u/l,numeric,,
12302,Clotting Time (CT),Clotting Time (CT),minutes,Text,p2127,Clotting Time (CT),minutes,text,,
12111,CMV IgG,CMV IgG (Cytomegalovirus),IU/ml,Decimal,p2128,CMV IgG (Cytomegalovirus),IU/ml,numeric,,
12112,CMV IgM,CMV IgM (Cytomegalovirus),IU/ml,Decimal,p2129,CMV IgM (Cytomegalovirus),IU/ml,numeric,,
12035,Stool Complete Examination,Color,,Text,p2130,Color,,text,,
12284,Urine Complete Examination,Color,,Text,p2130,Color,,text,,
12063,Fluid Complete Examination,Color,,Text,p2130,Color,,text,,
12289,Semen Analysis,Color,,Text,p2130,Color,,text,,
12035,Stool Complete Examination,Consistency,,Text,p2131,Consistency,,text,,
12289,Semen Analysis,Consistency,,Text,p2131,Consistency,,text,,
12283,APTT,Control,Sec,Decimal,p2132,Control,Sec,numeric,,
10552,Cross Match & Screening,Coombs Phase at 37 C,-,Text,p2133,Coombs Phase at 37 C,-,text,,
11976,Coombs Test Direct,Coombs Test Direct,,Text,p2134,Coombs Test Direct,,text,,
11975,Coombs Test Indirect,Coombs Test Indirect,,Text,p2135,Coombs Test Indirect,,text,,
12113,COPPER (24 HRS URINE),Copper (24 hrs Urine),ug/24hrs,Decimal,p2136,Copper (24 hrs Urine),ug/24hrs,numeric,,
15,BLOOD C/E,Corrected WBC's,/cmm,Decimal,p2137,Corrected WBC's,/cmm,numeric,,
54,PERIPHERAL BLOOD SMEARS,Corrected WBC's,/cmm,Decimal,p2137,Corrected WBC's,/cmm,numeric,,
5489,BLOOD C/E WITH ESR,Corrected WBC's,/cmm,Decimal,p2137,Corrected WBC's,/cmm,numeric,,
5700,BLOOD C/E,Corrected WBC's,/cmm,Decimal,p2137,Corrected WBC's,/cmm,numeric,,
11986,Peripheral blood Film,Corrected WBC's,/cmm,Decimal,p2137,Corrected WBC's,/cmm,numeric,,
12115,CORTISOL (URINE 24 HRS),Cortisol,ug/24h,Decimal,p2138,Cortisol,ug/24h,numeric,,
12021,CORTISOL (A.M),Cortisol AM,nmol/l,Decimal,p2139,Cortisol AM,nmol/l,numeric,,
12022,Cortisol PM,Cortisol PM,nmol/l,Decimal,p2140,Cortisol PM,nmol/l,numeric,,
12114,CORTISOL (SPOT URINE),Cortisole (Spot Urine),ug/l,Decimal,p2141,Cortisole (Spot Urine),ug/l,numeric,,
12234,RFT (RENAL FUNCTION TEST),Creatinine,mg/dl,Decimal,p2142,Creatinine,mg/dl,numeric,,
12239,Serum Creatinine,Creatinine,mg/dl,Decimal,p2142,Creatinine,mg/dl,numeric,,
10545,SERUM CREATININE,Creatinine,mg/dl,Decimal,p2142,Creatinine,mg/dl,numeric,,
11977,CREATININE (24 hrs urine),Creatinine (24 hrs urine),G/24 hrs,Decimal,p2143,Creatinine (24 hrs urine),G/24 hrs,numeric,,
12025,Creatinine Clearance (24 Hrs Urine & Serum),Creatinine Clearance,ml/min,Decimal,p2144,Creatinine Clearance,ml/min,numeric,,
20,CALCIUM/CREATININE RATIO,Creatinine (Spot Urine),mg/dl,Decimal,p2145,Creatinine (Spot Urine),mg/dl,numeric,,
11972,CALCIUM/CREATININE RATIO,Creatinine (Spot Urine),mg/dl,Decimal,p2145,Creatinine (Spot Urine),mg/dl,numeric,,
12192,Urine Albumin / Creatinine Ratio- ACR (Spot),Creatinine (Spot Urine),mg/dl,Decimal,p2145,Creatinine (Spot Urine),mg/dl,numeric,,
12231,Urine Protein/ Creatinine Ratio (Spot),Creatinine (Spot Urine),mg/dl,Decimal,p2145,Creatinine (Spot Urine),mg/dl,numeric,,
10552,Cross Match & Screening,Cross Match,-,Text,p2146,Cross Match,-,text,,
12299,CROSS MATCH with Screening,Cross Match,-,Text,p2146,Cross Match,-,text,,
