"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","2397","NOTE","Note:ADA is an enzyme that is widely distributed in human tissues, including T lymphocytes. Elevated serumADA activity has been observed in patients with acute hepatitis, alcoholic hepatic fibrosis, chronic activehepatitis, liver cirrhosis, viral hepatitis and hepatoma. Increased ADA activity is also observed in patientswith tuberculous effusions. Determination of ADA in patient serum may aid in the diagnosis of liverdiseases in combination with ALT or Gamma GT tests. ADA assay may also be useful in the diagnosticsof tuberculous pleuritis.","*","","Descriptive","Text","0 - 500","0 - 99999"
"","2398","A.N.A","NEGATIVE","-","-","Standard","Text","0 - 250","0 - 99999"
"","2399","ANTI SMOOTH MUSCLE ANTIBODIES (ASMA) :","0.0 - 20.0","Au/ml","","Standard","Text","0 - 500","0 - 99999"
"","2400","Anti-mitochondrial antibodies","Negative: <= 10.0Positive: > 10.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2401","ANCA - P (MPO ANTIBODIES)","Negative : <= 0.90Equivocal: 0.91 to 1.09Positive : >= 1.10","-","","Standard","Text","0 - 500","0 - 99999"
"","2402","ANCA-C (P-3 ANTIBODIES)","Negative : <= 0.90Equivocal : 0.91 to 1.09Positive : >= 1.10","-","","Standard","Text","0 - 500","0 - 99999"
"","2403","Anti Centromere-B","0.0 to 20.0","AU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2404","ANTI ENDOMYSIAL IgG","SEE BELOW","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2405","ANTI Hbc","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2406","Cut Off Value","Negative: < 0.9Greyzone: 0.9 - 1.10Positive: > 1.10","","-","Standard","Text","0 - 500","0 - 99999"
"","2407","FIBRINOGEN LEVEL","2.0 - 4.0","g / L","","Standard","Text","0 - 500","0 - 99999"
"","2408","Result","-","ng/ml","-","Standard","Text","0 - 500","0 - 99999"
"","2409","ANTI KIDNEY LIVER MICROSOMAL ANTIBODIES(KLM)","NEGATIVE < 15.0POSITIVE > 15.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2410","ANTI PHOSPHOLIPID IgG","NEGATIVE < 10.0POSITIVE > 10.0","","","Standard","Text","0 - 500","0 - 99999"
"","2411","ANTI PHOSPHOLIPID IgM","NEGATIVE < 10.0POSITIVE > 10.0","","","Standard","Text","0 - 500","0 - 99999"
"","2412","Anti SCL-70 IgG","0.0 to 20.0","AU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2413","ANTI SS-A (RO)","LESS THAN 20.0","AU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2414","Copper (24 hrs Urine)","10-100","ug/24hrs","","Standard","Text","0 - 500","0 - 99999"
"","2415","COVID-19 Antibody IgG & IgM","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2416","Ds DNA","Negative <25Positive >=25","U/mL","","Standard","Text","0 - 500","0 - 99999"
"","2417","Sm","Negative <15Borderline 15 - 25Positive >25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2418","Sm/RNP","Negative <15Borderline 15 - 25Positive >25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2419","SS-A","Negative <25Positive >=25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2420","SS-B","Negative <15Borderline 15 - 25Positive >25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2421","CENP-B","Negative <10Positive >=10","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2422","ScI-70","Negative <15Borderline 15 - 25Positive >25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2423","Jo-1","Negative <15Borderline 15 - 25Positive >25","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2424","ESTRADIOL","Adult Male: 20 - 75 Adult FemalePostmenopausal Phase  : 20 - 88MILD Follicular Phase : 24 - 114 Mild Luteal Phase     : 80 - 273 Periovulatory Phase   : 62 - 534","pg/mL","","Standard","Text","0 - 500","0 - 99999"
"","2425","FACTOR Viii (Anti Haemophilic Globulin)","0.0 - 1.0    Severe haemophilic1.1 - 5.0    Moderate haemophilic 5.1 - 50.0   Mild haemophilic50.0 - 150.0 Normal","%","","Standard","Text","0 - 500","0 - 99999"
"","2426","HELICOBACTER PYLORI Abs (IgA)","Negative <16Equivocal 16-22Positive >22","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2427","HELICOBACTER PYLORI Abs (IgG)","Negative <20.0Positive >20.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2428","HELICOBACTER PYLORI Abs IgM","Negative <20.0Positive > 20.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2429","HLA-B27","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2430","Homocystine (Urine)","5.0 -  15.0","µmol/l","","Standard","Text","0 - 500","0 - 99999"
"","2431","Insulin Growth Factor-1 (IGF-1)","See Below","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","2432","Ionized Calcium","1.15-1.35","mmol/l","","Standard","Text","0 - 500","0 - 99999"
"","2433","KETONE (BLOOD)","< 1.0 		(Negative)1.1 - 5.0		(Positive +)5.1 - 15.0	(Positive ++)> 15.0		(Positive +++)","mmol/l","","Standard","Text","0 - 500","0 - 99999"
"","2434","Morphine Derivatives (TLC)(Urine)","-","-","","Standard","Text","0 - 500","0 - 99999"
"","2435","METHADONE (MTD)(URINE)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2436","MYCODOT (IgG)","< 0.9 		Negative0.9 : 1.1  	Borderline> 1.1		Positive","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2437","MYCODOT (IgM)","< 0.80 Negative0.80 - 1.20 Borderline> 1.20 Positive","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2438","ProBNP (N-t) II","-","-","125.0","Descriptive","Text","0 - 500","0 - 99999"
"","2439","Procalcitonin (PCT)","< 0.5 ng/mL > 2.0 ng/mL","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","2440","QuantiFeron-TB Gold Test","See Below","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2441","T.SOT TB","see below","","","Standard","Text","0 - 500","0 - 99999"
"","2442","Serum Protein","6.5 - 8.8","g/dl","","Standard","Decimal","0 - 999","6.5 - 8.8"
"","2443","Albumin","3.5 - 5.0","g/dl","","Standard","Decimal","0 - 99","3.5 - 5"
"","2444","Serum Globulins","2.4 - 3.5","g/dl","","Standard","Formula","0 - 999999","2.4 - 3.5"
"","2445","A/G Ratio","1.1 - 2.4","","","Standard","Formula","0 - 999","1.1 - 2.4"
"","2446","CREATININE","Male: 0.4 - 1.1Female: 0.4 - 0.9","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2447","BUN(BLOOD UREA NITROGEN)","8 - 22","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2448","SGPT (ALT)","Male: 05 - 43Female: 05 - 38","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2449","SERUM CHLORIDE","96 - 108","mmol/L","","Standard","Decimal","0 - 999","96 - 108"
"","2450","SERUM POTASSIUM","3.5 - 5.5","mmol/L","","Standard","Text","0 - 250","0 - 99999"
"","2451","SERUM SODIUM","135 - 150","mmol/L","","Standard","Text","0 - 250","0 - 99999"
"","2452","T.I.B.C","250 - 400","µg/dL","","Standard","Text","0 - 500","0 - 99999"
"","2453","IRON","Male: 59 - 148 Female: 37 - 145","µg/dL","","Standard","Text","0 - 500","0 - 99999"
"","2454","HDV BY PCR (QUALITATIVE) REAL TIME","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2455","Factor V (accelerator globulin)","70-00 - 120.00","%","","Standard","Text","0 - 500","0 - 99999"
"","2456","CULTURE","-","","","Descriptive","Text","0 - 250","0 - 99999"
"","2457","Augmentin (AMC)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2458","Clindamycin(DA)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2459","Linzolid(LZD)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2460","Aztreonam(ATM)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2461","Cefoxitin(FOX)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2462","Ampicillin(AMP)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2463","Cefotaxime(CTX)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2464","imipenem(IPM)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2465","Nitrofurantine(F)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2466","Colistin(CT)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2467","Ceftriaxon(CRO)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2468","Erythromycin(E)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2469","Levofloxacin (LEV)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2470","Norfloxacin(NOR)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2471","Ofloxacin( OFX)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2472","tetracycline(TE)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2473","Ciprofloxacin(CIP)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2474","Kanamycin(k)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2475","Amikacin(AK)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2476","Ceftizoxime(ZOX)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2477","Gentamycin(CN)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2478","Trimethoprim (SXT)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2479","Vancomycin (VA)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2480","Fosfomycin(FO)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2481","Augmentin(AMC)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2482","Moxifloxacin(MXF)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","2483","After 75 Grams Glucose","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","2484","Blood Glucose 1.0 hrs.","90-160","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2485","Blood Glucose 1 + 1/2-HRS","90-140","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2486","Blood Glucose 2.0 hrs","60-120","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2487","Anti Mullerian Hormone (AMH)","Female:upto 2 years      : < 5.0 ng/mL2 year to 12 years: < 10.0 ng/mL13-45 years       : 1.0 to 10.0 ng/mL> 45 years        : < 1.0 ng/mLMales:upto 2 years      : 15.0 to 500.0ng/mL2 year to 12 years: 7.0 to 240.0 ng/mL> 12 years        : 0.7 to 20.0 ng/m","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","2488","COVID-19(SARS-CoV-2) PCR REPORT","","","","Descriptive","List","0 - 500","0 - 0"
"","2489","X-RAY SHOULDER","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2490","BILIRUBIN CONJUGATED","0.0 - 0.5","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2491","CALCIUM","8.4 - 10.4","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2492","Dengue Virus (IgG)","0.470","","","Standard","Decimal","0 - 33","0 - 11"
"","2493","DENGUE VIRUS (IgM)","0.501","","","Standard","Text","0 - 500","0 - 99999"
"","2494","IGM","NEGATIVE","","","Standard","List","0 - 500","0 - 99999"
"","2495","T.I.B.C","250 - 400","µg/dL","","Standard","Text","0 - 500","0 - 99999"
"","2496","Color","-","","","Standard","Text","0 - 250","0 - 99999"
"","2497","Turbidity","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2498","Deposit","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2499","Specific Gravity","-","","","Standard","Text","0 - 250","0 - 99999"
"","2500","Glucose","-","","NORMAL","Standard","Text","0 - 250","0 - 99999"
"","2501","Ketones","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","2502","Protein","-","-","","Standard","Text","0 - 250","0 - 99999"
"","2503","Bilirubin","-","","NORMAL","Standard","Text","0 - 250","0 - 99999"
"","2504","Nitrate","-","-","Negative","Standard","Text","0 - 250","0 - 99999"
"","2505","Urobilirubin","-","","NEGATIVE","Standard","Text","0 - 250","0 - 99999"
"","2506","Blood","-","","","Standard","Text","0 - 250","0 - 99999"
"","2507","Leucocytes","-","","","Standard","Text","0 - 500","0 - 99999"
"","2508","Casts","Nil","","","Standard","List","0 - 500","0 - 99999"
"","2509","Crystals","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","2510","Others","-","-","","Descriptive","Text","0 - 250","0 - 99999"
"","2511","BILIRUBIN UNCONJUGATED","Adult: 0.1 - 1.1Child:(0-20)Days:0.1 - 12.8","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2512","Result","-","-","","Standard","Text","0 - 500","0 - 99999"
"","2513","PATIENT'S VALUE","-","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2514","CutOff Value","-","","","Standard","Text","0 - 500","0 - 99999"
"","2515","ANTI HEV IgG:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2516","Patient Value:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2517","Cut Off Value:","-","-","","Standard","Text","0 - 500","0 - 99999"
"","2518","TOXOPLASMA IgM","NEGATIVE:   < 0.83EQUIVOCAL:  <= 0.83 To < 1.0POSITIVE:   >= 1.0","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2519","C3 (Complement Level 3)","90 - 180","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2520","C4 (Complement Level 4)","10 - 40","mg/dl","","Standard","Text","0 - 500","10 - 40"
"","2521","Rubella IgM","Non-Reactive: < = 0.75Equivocal: >= 0.75 - < 1.00Reactive: >= 1.00",".","","Standard","Decimal","0 - 500","0 - 1"
"","2522","CREATININE","MALE: 0.4 - 1.0FEMALE: 0.4 - 0.9","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2523","URIC ACID","FEMALES: 2.5 - 5.7MALES:   3.5 - 7.0","mg/dl","","Standard","Decimal","0 - 99","2.5 - 7"
"","2524","Chloride","96 - 108","mmol/l","","Standard","Text","0 - 250","0 - 99999"
"","2525","SERUM BICARBONATE","22 - 28","nmol/L","","Standard","Text","0 - 250","0 - 99999"
"","2526","TRIGLYCERIDES","NORMAL: < 150BODERLINE: 150 - 199HIGH: 200 - 499VERY HIGH: > 500","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2527","HDL CHOLESTEROL","35 - 55","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2528","BILIRUBIN TOTAL","Adult: 0.1 - 1.1Child:(0-20)Days:0.1 - 12.0","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2529","BILIRUBIN DIRECT","0.00 -- 0.5","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2530","BILIRUBIN UNCONJUGATED","Adult:0.1 - 1.0Child(0-14)Years: 0.1-12.8","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2531","S.G.O.T (A.S.T)","5 - 35","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2532","ALKALINE PHOSPHATASE","Adult: 80 - 306Child:(0-14Years): 80 - 644","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2533","AMYLASE","25 - 100","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2534","Total Protein","6.5 - 8.8","g/dL","","Standard","Text","0 - 500","0 - 99999"
"","2535","No Of Stone:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2536","Colour:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2537","Surface:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2538","Size:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2539","Shape:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2540","Calcium:","-","%","-","Standard","Text","0 - 500","0 - 99999"
"","2541","Phosphate","-","%","","Standard","Text","0 - 500","0 - 99999"
"","2542","Ammonium:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","2543","Oxalate:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","2544","Magnesium:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","2545","Uric Acid:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","2546","BILIRUBIN TOTAL","Adult: 0.1 - 1.0Child:(0-20)Days:0.1 - 12.0","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","2547","C.P.K","MEN <171WOMEN <145CHILDREN:UMBILICAL CORD BLOOD 175-402NEWBORNS 468-12005 DAYS 195-7006 MONTHS 41-330>6 MONTHS 24-229","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2548","L.D.H","180 - 450","u/L","","Standard","Decimal","0 - 99999","0 - 99999"
"","2549","CK-MB","5 - 25","u/L","","Standard","Text","0 - 250","0 - 99999"
"","2550","SGOT (AST)","5 - 35","U/L","","Standard","Text","0 - 500","0 - 99999"
"","2551","HbA1c","3.8 - 5.8","%","","Standard","Text","0 - 500","0 - 99999"
"","2552","ACTH","7.2 - 63.3","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","2553","C.E.A","0.0 - 5.0","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","2554","SERUM INSULIN LEVEL","-","uIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2555","Ceruloplasmin (Serum)","15.00 - 30.00","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2556","C- PEPTIDE LEVEL","-","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","2557","HAV  (IgG) :","-","-","","Standard","Text","0 - 500","0 - 99999"
"","2558","PATIENT'S VALUE","-","","","Standard","Text","0 - 500","0 - 99999"
"","2559","SERUM LIPASE","< 38","U/l","","Standard","Text","0 - 500","0 - 99999"
"","2560","IgE","0.0 - 100.0","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2561","SERUM CHOLESTEROL","Desirable: < 200Boderline High: 200 - 239High: > 240","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2562","HDL CHOLESTEROL","35 - 55","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2563","LDL CHOLESTEROL","90 - 140","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","2564","PT","10 - 14","sec","","Standard","Decimal","0 - 999","10 - 14"
"","2565","INR","0.9 - 1.1","Ratio","","Standard","Formula","0 - 999999","0.9 - 1.1"
"","2566","Plasmodium Falciparum (P.F)","Negative","-","","Standard","Text","0 - 250","0 - 99999"
"","2567","Plasmodium Vivax (P.V)","Negative","","","Standard","Text","0 - 500","0 - 99999"
"","2568","BLOOD GROUP","-","","","Standard","Text","0 - 250","0 - 99999"
"","2569","RH FACTOR","-","","","Standard","Text","0 - 250","0 - 99999"
"","2570","Coombs Test Direct","-","","","Standard","Text","0 - 250","0 - 99999"
"","2571","Coombs Test Indirect","-","","","Standard","Text","0 - 250","0 - 99999"
"","2572","APTT","34 SEC","Sec.","","Standard","Text","0 - 500","0 - 99999"
"","2573","24 HOURS URINARY PROTEIN","50 - 150 mg/dl0.5 - 1.5 g/dl","24 Hours","","Standard","Text","0 - 250","0 - 99999"
"","2574","URINE FOR PREGNANCY TEST","-","-","-","Standard","Text","0 - 500","0 - 99999"
"","2575","24 HOURS URINARY CALCIUM","100.00 - 300.00","mmol/24 Hrs","","Standard","Text","0 - 250","100 - 300"
"","2576","Ketones","-","-","NIL","Standard","Text","0 - 500","0 - 99999"
"","2577","ALBUMIN / CREATININE RATIO (ACR)","Reference Range for ACR:Normal: <30 mg/gMicroalbuminuria: 30 to 300 mg/gMacroalbuminuria: >300 mg/g","mg/g","","Standard","Text","0 - 500","0 - 99999"
"","2578","BETA HCG","MEN : < 5 Female:Pre- Menopausal  : < 5 Post-Menopausal  : < 101St Trimester    : Week Of Gestation : hCG Conc.Serum    5              :   50  - 7,000    7              :  500  - 60,000    9              :17,000 - 200,000    11              :34,000 - 250,000   13              :25,000 - 210,0002nd Trimester      :10,000 - 100,0003rd Trimester      : 3,000 - 50,000  Normal serum hCG concentrations are reached up to 2 or 3 days after the labour.","IU/L","","Standard","Text","0 - 500","0 - 99999"
"","2579","R.A FACTOR (QUANTITATIVE)","0.0 - 30.0   Recommended that each laboratory   establish its own reference range.","IU/mL","","Standard","Text","0 - 500","0 - 99999"
"","2580","ALPHA FETO-PROTEIN","MALE:  0.46 -  6.41FEMALE: 0.49  -  9.84","IU/mL","","Standard","Text","0 - 500","0 - 99999"
"","2581","(VDRL) BY ELISA","NON REACTIVE < 1.0BORDER LINE 1.0-4.0REACTIVE > 4.0","-","","Standard","Decimal","0 - 99","0 - 4"
"","2582","HB-A","96.5 - 99.5","%","","Standard","Text","0 - 250","0 - 99999"
"","2583","HB-A2","0.0 - 3.5","%","","Standard","Text","0 - 500","0 - 99999"
"","2584","Opinion","","","","Descriptive","Text","0 - 500","0 - 99999"
"","2585","Advise","","","","Descriptive","Text","0 - 500","0 - 99999"
"","2586","HCV Ellisa :","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","2587","TPHA (Syphilis)","SEE BELOW","","","Standard","Text","0 - 500","0 - 99999"
"","2588","Anti Helicobacter Pylori Screening","-","-","NEGATIVE","Standard","Text","0 - 500","0 - 99999"
"","2589","ANTI HIV - 1&2 (ICT)","-","","","Standard","Text","0 - 500","0 - 99999"
"","2590","CA-125","0.01 - 35.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2591","Note","-","","This result is non conclusive.  Fresh sample is required for conclusive result.  That will be repeated without any cost.","Standard","Text","0 - 500","0 - 99999"
"","2592","TOXOPLASMA IgG","Negative  :  <  1.6Equivocal :     1.62 to < 3.0Positive  :  >= 3.0","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2593","D-DIMER (F.D.P's)","0.0-1.35  Recommended that each laboratory   establish its own reference range.","mg/L","","Standard","Text","0 - 500","0 - 99999"
"","2594","CA-19-9","-","u/ml","","Standard","Text","0 - 500","0 - 99999"
"","2595","PATIENT'S VALUE","-","-","","Standard","Text","0 - 500","0 - 99999"
"","2596","ANTI HEV IgM:","-","","","Standard","Text","0 - 500","0 - 99999"
"","2597","Result","-","","","Standard","Text","0 - 500","0 - 99999"
"","2598","PATIENT'S VALUE","-","ng/ml","-","Standard","Text","0 - 500","0 - 99999"
"","2599","ANTI CARDIOLIPIN IgG","Negative < 10Positive > 10","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2600","ANTI CARDIOLIPIN IgM","Negative < 10Positive > 10","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","2601","Dengue NS1 Antigen","0.430","","","Standard","Text","0 - 500","0 - 99999"
"","2602","HEPATITIS B SURFACE ANTIGEN","-","","","Standard","List","0 - 500","0 - 99999"
"","2603","PATIENT'S INDEX VALUE","-","","","Standard","Text","0 - 500","0 - 99999"
"","2604","Rubella IgG","Non-Reactive: 0.0 - 4.9Equivocal: 5.0 - 9.9Reactive: >= 10.0",".","","Standard","Decimal","0 - 500","0 - 1.1"
"","2605","T3","1.2 - 2.8","nmol/L","","Standard","Text","0 - 500","0 - 99999"
"","2606","T4","59.13 - 168.2","nmol/L","","Standard","Text","0 - 500","0 - 99999"
"","2607","TSH","Euthyroid 0.17 - 4.05Hyperthyroid <0.15Untreated hyperthyroid >5","mIU/L","","Standard","Text","0 - 500","0 - 99999"
"","2608","T3","1.2 - 2.8","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","2609","TSH","0.37 - 5.10","µIU/mL","","Standard","Text","0 - 500","0 - 99999"
"","2610","LH","Children:Pre-pubertal          : <0.19Stage of puberty PII  : <0.6PIII,PIV,PV           : 0.32 - 2.7Male                  : 0.81 - 9.05Female:Follicular phase      : 0.77 - 80.3Pre-ovulatory peak    : 11.9 - 112Luteal phase          : 0.39 - 38.5Postmenopausal        : 9.03 - 70.6","IU/L","","Standard","Text","0 - 500","0 - 99999"
"","2611","FSH","Follicular phase :3.2-12.7 Ovulation phase: 4.5 - 22.8 Luteal phase: 1.2 - 8.9 Postmenopause.: 22 - 146 Male: 1.4- 14.4","IU/L","","Standard","Text","0 - 500","0 - 99999"
"","2612","TESTOSTERONE","SEE BELOW","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","2613","PROLACTIN","Male 2.3 - 17.5Female 2.9 - 25.8","-","","Standard","Text","0 - 500","0 - 99999"
"","2614","CORTISOL A.M","Collection Time    Reference Interval6.7   -  22.6","ug/dl","","Standard","Text","0 - 500","0 - 99999"
"","2615","CORTISOL PM","Collection Time    Reference Interval8:00  - 10:00   : 57.20 - 194.2016:00 - 18:00   : 20.20 - 131.00","ng / mL","","Standard","Text","0 - 500","0 - 99999"
"","2616","FREE T3 (FT3)","2.5 - 3.9","pg/mL","","Standard","Text","0 - 500","2.5 - 3.9"
"","2617","FREE T4 (FT4)","0.61 - 1.12","ng/dl","","Standard","Text","0 - 500","0.61 - 1.12"
"","2618","SERUM FERRITIN","Male     :   38-457 Female:   Premenopausal:  7.4-73   Menopausal   :  14-165Children:      0-6 months :  1.0-434    0.5-15 years :  2.0-135     15-18 years :  16-90Girls:   15-18 years :  5.0-127","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","2619","Thyroglobulin","Less than 95.0 IU/ml","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2620","ANTI THYROID PEROXIDASE (BLOOD TPO)","Less Than 30 IU/ml","IU/ml","","Standard","Text","0 - 500","0 - 99999"
"","2621","Consistency","-","","","Standard","Text","0 - 250","0 - 99999"
"","2622","Odour","-","","Fecal","Standard","Text","0 - 500","0 - 99999"
"","2623","Reaction","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2624","Mucus","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2625","Parasite","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2626","Occult Blood","-","","","Standard","Text","0 - 250","0 - 99999"
"","2627","Pus Cells/WBC","-","","","Standard","Text","0 - 250","0 - 99999"
"","2628","RBC","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2629","Fats","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","2630","Ova","-","","Not Seen.","Standard","Text","0 - 250","0 - 99999"
"","2631","Cysts","-","","Not Seen.","Standard","Text","0 - 500","0 - 99999"
"","2632","UNDIGESTED FOOD","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","2633","Macrophages","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","2634","Muscle cells","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","2635","Starch","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","2636","Liquification:","-","-","","Standard","Text","0 - 250","0 - 99999"
"","2637","PH","","-","","Standard","List","0 - 250","0 - 99999"
"","2638","Total Sperm Count","60 - 120","million/ml","","Standard","Text","0 - 250","0 - 99999"
"","2639","ACTIVE:","40 - 60","%","","Standard","Text","0 - 500","0 - 99999"
"","2640","SLUGGISH:","10 - 20","%","","Standard","Text","0 - 500","0 - 99999"
"","2641","DEAD:","10 - 20","%","","Standard","Text","0 - 500","0 - 99999"
"","2642","Microhead:","-","/ H.P.F","","Standard","Text","0 - 500","0 - 99999"
"","2643","Macrohead:","-","/ H.P.F","","Standard","Text","0 - 500","0 - 99999"
"","2644","Without Tail:","-","/ H.P.F","","Standard","Text","0 - 500","0 - 99999"
"","2645","Double Head:","-","/ H.P.F","","Standard","Text","0 - 500","0 - 99999"
"","2646","Pus Cells","-","/ H.P.F","-","Standard","Text","0 - 250","0 - 99999"
"","2647","Red Blood Cells","-","/ H.P.F","-","Standard","Text","0 - 500","0 - 99999"
