"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","224","Patient's Index Value","","","","Descriptive","Text","0 - 500","0 - 99999"
"","225","HCV Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","226","LE Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","227","Monospot Test","Negative : < 9.0Grey zone :9.0 to 11.0Positive : > 11.0","","","Standard","Decimal","0 - 33","0 - 11"
"","228","R.A Factor IgG","Negative: < 20Positive: > 20","IU/ml","","Standard","Decimal","0 - 60","0 - 20"
"","229","R.A Factor IgM","Negative: < 25.0Positive: > 25.0Indication of Rheumatoid Arthritis: > 70","IU/ml","","Standard","Decimal","0 - 75","0 - 25"
"","230","RPR (Syphilis)","Negative: < 0.9Positive: > 0.9","","","Standard","Decimal","0 - 2.7","0 - 0.9"
"","231","Rh Antibody Titer","","","","Descriptive","Text","0 - 250","0 - 99999"
"","232","Salmonella Typhi IgG ELISA","","","","Descriptive","Text","0 - 500","0 - 99999"
"","233","Salmonella Typhi igM ELISA","","","","Descriptive","Text","0 - 500","0 - 99999"
"","234","PH","Neutral","","","Standard","List","0 - 250","0 - 99999"
"","235","Reducing Substance","","","","Descriptive","List","0 - 500","0 - 99999"
"","236","V.D.R.L","Non-Reactive: < 0.9Borderline: 0.9 to 1.1Reactive: > 1.1","","","Standard","Decimal","0 - 100","0 - 1.1"
"","237","25-OH Vitamin - D3","Deficiency: <10Insufficiency: 10-29Sufficiency: 30-100Potential Toxicity: >100","ng/ml","","Standard","Decimal","0 - 300","10 - 100"
"","238","Alpha Feto-Protein","Less Than 10","µIU/ml","","Standard","Decimal","0 - 100000","0 - 10"
"","239","Anti CCP Antibody (CPA Elisa)","Negative: < 18Borderline: 18 to 22Positive: > 22","U/mL","","Standard","Decimal","0 - 66","0 - 22"
"","240","Anti Ds DNA IgG","Negative: < 1.0Borderline: 1.0 to 1.2Positive: > 1.2","IU/ml","","Standard","Decimal","0 - 3.6","0 - 1.2"
"","241","Anti HDV IgG","","","","Descriptive","Text","0 - 500","0 - 99999"
"","242","Anti HDV IgM","","","","Descriptive","Text","0 - 500","0 - 99999"
"","243","Anti Helicobacter Pylori Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","244","Anti Tissue Transglutaminase IgA","Negative < 20.0Positive >20.0","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","245","Anti Tissue Transglutaminase IgG","Negative: < 18Borderline: 18 - 22Positive: > 22","U/mL","","Standard","Decimal","0 - 66","0 - 22"
"","246","Thyroid Antibodies","50.0 - 70.0","IU/ml","","Standard","Decimal","0 - 210","50 - 70"
"","247","Beta 2 Glycoprotein-1 IgG","Negative < 10.0Positive > 10.0","-","","Standard","Decimal","0 - 30","0 - 10"
"","248","Beta 2 Glycoprotein-1 IgM","Negative < 10.0Positive > 10.0","-","","Standard","Decimal","0 - 30","0 - 10"
"","249","BETA HCG","","","","Descriptive","Text","0 - 500","0 - 99999"
"","250","C-Reactive Protein (CRP)","Less Than 6","mg/L","","Standard","Decimal","0 - 500","0 - 6"
"","251","CA-125","Less Than 35","U/ml","","Standard","Decimal","0 - 999999","0 - 35"
"","252","CA-19-9","Less Than 37","u/ml","","Standard","Decimal","0 - 999","0 - 37"
"","253","Metanephrine Urine","Less Than 350","ug/24 Hours","","Standard","Decimal","0 - 1050","0 - 350"
"","254","Normetanephrine Urine","Less Than 600","ug/24 Hours","","Standard","Decimal","0 - 1800","0 - 600"
"","255","Dopamine","Less Than 600","ug/24 Hours","","Standard","Decimal","0 - 1800","0 - 600"
