parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2201,t2300,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2300,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2300,F,,,36.0-46.0,36.0,46.0,,,%,
p2271,t2300,,,,150.0-450.0,150.0,450.0,,,*10^9/l,
p2282,t2301,,,,9.5-14.0,9.5,14.0,,,Seconds,
p2216,t2301,,,,0.9-1.1,0.9,1.1,,,,
p2282,t2308,,,,9.5-14.0,9.5,14.0,,,Seconds,
p2216,t2308,,,,0.9-1.1,0.9,1.1,,,,
p2078,t2308,,,,24.0-35.0,24.0,35.0,,,Seconds,
p2201,t2315,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2315,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2315,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2315,F,,,36.0-46.0,36.0,46.0,,,%,
p2371,t2315,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2315,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2293,t2315,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2315,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2315,,,,25.0-35.0,25.0,35.0,,,pg,
p2239,t2315,,,,78.0-95.0,78.0,95.0,,,fl,
p2237,t2315,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2315,,,,11.0-16.0,11.0,16.0,,,%,
p2254,t2315,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2315,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2315,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2315,,,,1.0-6.0,1.0,6.0,,,%,
p2253,t2315,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2315,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2315,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2315,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2165,t2315,F,,,,,20.0,,,mm/1st hr,
p2165,t2315,M,,,,,10.0,,,mm/1st hr,
p2201,t2316,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2316,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2316,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2316,F,,,36.0-46.0,36.0,46.0,,,%,
p2371,t2316,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2316,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2293,t2316,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2316,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2316,,,,25.0-35.0,25.0,35.0,,,pg,
p2239,t2316,,,,78.0-95.0,78.0,95.0,,,fl,
p2237,t2316,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2316,,,,11.0-16.0,11.0,16.0,,,%,
p2254,t2316,,,,40.0-75.0,40.0,75.0,,,%,
